Title
Generative Modeling of Residuals for Real-Time Risk-Sensitive Safety with Discrete-Time Control Barrier Functions.
TinyMPC: Model-Predictive Control on Resource-Constrained Microcontrollers.
A Movable Microfluidic Chip with Gap Effect for Manipulation of Oocytes.
Under pressure: learning-based analog gauge reading in the wild.
Efficient Composite Learning Robot Control Under Partial Interval Excitation.
MORALS: Analysis of High-Dimensional Robot Controllers via Topological Tools in a Latent Space.
Resilient Legged Local Navigation: Learning to Traverse with Compromised Perception End-to-End.
VLFM: Vision-Language Frontier Maps for Zero-Shot Semantic Navigation.
Learning Continuous Control with Geometric Regularity from Robot Intrinsic Symmetry.
Learning Vision-Based Bipedal Locomotion for Challenging Terrain.
NoMaD: Goal Masked Diffusion Policies for Navigation and Exploration.
Distributionally Robust Chance Constrained Trajectory Optimization for Mobile Robots within Uncertain Safe Corridor.
Distributionally Robust CVaR-Based Safety Filtering for Motion Planning in Uncertain Environments.
Safe POMDP Online Planning via Shielding.
Generating Sparse Probabilistic Graphs for Efficient Planning in Uncertain Environments.
Johnsen-Rahbek Capstan Clutch: A High Torque Electrostatic Clutch.
Research on bionic foldable wing for flapping wing micro air vehicle.
A scalable monolithic 3D printable variable stiffness mechanism.
Modular Growing Mechanism with Multi-axis Deformation.
Design and Experimental Characterisation of a Novel Quasi-Direct Drive Actuator for Highly Dynamic Robotic Applications.
Design and Evaluation of a Reconfigurable 7-DOF Upper Limb Rehabilitation Exoskeleton with Gravity Compensation.
Flexible Omnidirectional Driving Gear Mechanism with Adaptation over Arbitrary Curvatures.
Tactile Robot Programming: Transferring Task Constraints into Constraint-Based Unified Force-Impedance Control.
Safety Verification of Closed-loop Control System with Anytime Perception.
Unraveling the Single Tangent Space Fallacy: An Analysis and Clarification for Applying Riemannian Geometry in Robot Learning.
Optimal Control Synthesis with Relaxed Global Temporal Logic Specifications for Homogeneous Multi-robot Teams.
An Iterative Approach for Heterogeneous Multi-Agent Route Planning with Temporal Logic Goals and Travel Duration Uncertainty.
Phasic Diversity Optimization for Population-Based Reinforcement Learning.
VO-Safe Reinforcement Learning for Drone Navigation.
RoCo: Dialectic Multi-Robot Collaboration with Large Language Models.
